Department,Department_Division,PCN,Position_Title,FLSA_Status,Initial_Hire_Date,Date_in_Title,Salary
CIR,CIR 011 Circuit Court/Judges Office,B.005757,Judicial Assistant,Non Exempt,2020-05-21,2021-03-25,35193.6
CIR,CIR 011 Circuit Court/Judges Office,B.004909.3     ,Business Application Specialist II,Exempt,1990-03-16,2006-11-01,71785.48
CIR,CIR 011 Circuit Court/Judges Office,B.004012,Staff Attorney,Exempt,1998-07-16,1998-07-16,110542.38
CIR,CIR 011 Circuit Court/Judges Office,B.001911,Judicial Assistant,Non Exempt,2005-07-01,2014-02-01,41699.06
CIR,CIR 011 Circuit Court/Judges Office,B.005154.2     ,Judicial Administrative Assistant,Non Exempt,1997-08-01,2017-07-01,64274.34
CIR,CIR 011 Circuit Court/Judges Office,B.005218,Law Clerk,Exempt,2021-07-29,2021-07-29,52208
CIR,CIR 011 Circuit Court/Judges Office,B.004582,Law Clerk,Exempt,2020-08-27,2020-08-27,52208
CIR,CIR 011 Circuit Court/Judges Office,B.000619,Jury Specialist,Non Exempt,2016-01-07,2016-01-07,42031.34
CIT,CIT 114 Mail Service,B.002220,Distribution Clerk II,Non Exempt,2015-02-22,2018-01-04,32405.88
CIT,CIT 114 Mail Service,B.005961.1     ,Distribution Clerk II,Non Exempt,2009-06-01,2012-05-01,33133.88
CIT,CIT 114 Mail Service,B.000146,Distribution Clerk Supervisor,Non Exempt,2018-02-01,2018-02-01,48828
CIT,CIT 120 Information Technology Business Center,B.003001.3     ,Accountant II,Exempt,2016-07-07,2018-02-15,56452.5
CIT,CIT 120 Information Technology Business Center,B.002190.2     ,Financial Specialist,Non Exempt,2018-05-24,2019-01-17,51024.74
CIT,CIT 120 Information Technology Business Center,B.002808.1     ,Administrative Technician,Non Exempt,2017-05-11,2018-06-07,39863.2
CIT,CIT 120 Information Technology Business Center,B.001871,Account Clerk II,Non Exempt,2018-07-05,2018-08-02,33612.02
CIT,CIT 120 Information Technology Business Center,B.005852.4     ,Media and Communications Coordinator II,Non Exempt,2017-07-06,2017-07-06,56434.82
CIT,CIT 120 Information Technology Business Center,B.005463,Account Clerk II,Non Exempt,2018-11-08,2018-11-08,33612.02
CIT,CIT 120 Information Technology Business Center,B.003191,Administrative Services Manager II,Exempt,2019-02-14,2019-02-14,88285.6
CIT,CIT 120 Information Technology Business Center,B.003613,Account Clerk III,Non Exempt,2014-10-07,2017-03-02,39494.26
CIT,CIT 120 Information Technology Business Center,B.003212,Executive Assistant II,Non Exempt,2019-11-07,2021-07-29,40768
CIT,CIT 120 Information Technology Business Center,B.007461.1     ,Systems Analyst II,Exempt,2019-05-09,2019-05-09,77930.84
CIT,CIT 120 Information Technology Business Center,B.006845.4     ,Systems Analyst II,Exempt,2018-12-06,2018-12-06,85023.64
CIT,CIT 120 Information Technology Business Center,B.001351.2     ,Special Projects Coordinator,Exempt,2005-10-01,2017-01-05,70537.48
CIT,CIT 120 Information Technology Business Center,B.000474.3     ,Systems Analyst III,Exempt,2015-11-07,2017-04-27,91329.68
CIT,CIT 120 Information Technology Business Center,B.003339,Chief Information Officer,Exempt,2017-04-13,2017-04-13,165041.5
CIT,CIT 121 Applications Support,B.007003.2     ,Systems Analyst II,Exempt,2015-06-07,2015-06-07,90826.84
CIT,CIT 121 Applications Support,B.007460.2     ,Systems Analyst II,Exempt,2020-05-21,2020-05-21,76100.44
CIT,CIT 121 Applications Support,B.007454,Systems Analyst III,Exempt,2019-01-03,2019-01-03,93097.68
CIT,CIT 121 Applications Support,B.003552.3     ,Systems Analyst III,Exempt,2011-03-16,2011-03-16,104662.48
CIT,CIT 121 Applications Support,B.007453,Systems Analyst II,Exempt,2019-03-14,2019-03-14,77930.84
CIT,CIT 121 Applications Support,B.006190.4     ,Systems Analyst II,Exempt,2019-11-07,2019-11-07,76100.44
CIT,CIT 121 Applications Support,B.000198,Systems Analyst II,Exempt,2001-11-01,2011-09-01,102849.24
CIT,CIT 121 Applications Support,B.003563.1     ,Programmer/Analyst II,Exempt,1985-03-16,1990-02-16,87318.4
CIT,CIT 121 Applications Support,B.005948,Systems Analyst III,Exempt,2004-02-16,2004-02-16,117436.8
CIT,CIT 121 Applications Support,B.006434.1     ,Systems Analyst I,Exempt,2016-11-22,2016-11-22,71865.56
CIT,CIT 121 Applications Support,B.001976.4     ,IT Deputy Chief of Enterprise Solutions and Services,Exempt,1988-09-16,2009-10-01,132749.5
CIT,CIT 121 Applications Support,B.000502.2     ,IT Deputy Chief of Enterprise Solutions and Services,Exempt,1999-04-01,2017-06-22,136011.2
CIT,CIT 121 Applications Support,B.003199.2     ,Systems Analyst II,Exempt,2021-05-06,2021-05-06,73736
CIT,CIT 121 Applications Support,B.006402.2     ,Systems Analyst II,Exempt,2020-01-30,2020-01-30,78673.92
CIT,CIT 121 Applications Support,B.003526.3     ,Systems Analyst II,Exempt,2021-03-25,2021-03-25,78999.96
CIT,CIT 121 Applications Support,B.006192,Systems Analyst II,Exempt,2020-02-13,2020-02-13,94092.44
CIT,CIT 121 Applications Support,B.007311,Systems Analyst III,Exempt,2017-10-26,2017-10-26,94366.48
CIT,CIT 121 Applications Support,B.006191.2     ,Systems Analyst III,Exempt,2005-07-01,2005-07-01,111006.48
CIT,CIT 121 Applications Support,B.001857.2     ,Systems Analyst II,Exempt,2017-06-08,2017-06-08,89620.44
CIT,CIT 121 Applications Support,B.003591.3     ,Systems Analyst II,Exempt,2017-08-03,2017-08-03,79740.44
CIT,CIT 121 Applications Support,B.007455,Systems Analyst II,Exempt,2021-04-08,2021-09-04,75000.12
CIT,CIT 121 Applications Support,B.002790.3     ,Systems Analyst II,Exempt,2018-09-27,2018-09-27,90514.84
CIT,CIT 121 Applications Support,B.007312,Systems Analyst III,Exempt,2019-03-28,2019-03-28,81886.48
CIT,CIT 121 Applications Support,B.007144,Systems Analyst III,Exempt,2013-10-01,2017-02-16,105036.88
CIT,CIT 121 Applications Support,B.003398.2     ,Systems Analyst I,Exempt,2013-10-16,2019-03-28,67206.36
CIT,CIT 121 Applications Support,B.001790,Programmer/Analyst III,Exempt,1982-01-16,1991-01-01,96387.2
CIT,CIT 121 Applications Support,B.003703.1     ,Systems Analyst II,Exempt,2016-06-07,2016-06-07,82548.44
CIT,CIT 121 Applications Support,B.006193,Systems Analyst III,Exempt,2018-03-29,2019-09-12,94948.88
CIT,CIT 121 Applications Support,B.005459.3     ,Systems Analyst II,Exempt,2020-08-27,2020-08-27,85999.94
CIT,CIT 121 Applications Support,B.001145.1     ,Systems Analyst II,Exempt,2018-04-26,2018-04-26,75566.4
CIT,CIT 121 Applications Support,B.001309.1     ,Systems Analyst II,Exempt,1979-11-01,2013-12-16,83858.84
CIT,CIT 121 Applications Support,B.006734.2     ,Systems Analyst II,Exempt,2016-05-07,2016-05-07,82548.44
CIT,CIT 121 Applications Support,B.000946.3     ,Systems Engineer III,Exempt,2017-06-22,2017-06-22,125082.62
CIT,CIT 121 Applications Support,B.003602.1     ,Systems Analyst II,Exempt,2014-07-22,2014-07-22,90930.84
CIT,CIT 121 Applications Support,B.000795.3     ,Systems Analyst II,Exempt,2009-05-01,2015-06-22,83650.84
CIT,CIT 121 Applications Support,B.006738.1     ,Systems Analyst II,Exempt,2002-04-01,2018-03-29,101518.04
CIT,CIT 121 Applications Support,B.005960.2     ,Systems Analyst II,Exempt,1988-11-16,2012-04-01,97150.04
CIT,CIT 121 Applications Support,B.003946.1     ,Systems Analyst II,Exempt,1998-06-01,2017-07-06,92823.64
CIT,CIT 121 Applications Support,B.005829.1     ,Systems Analyst III,Exempt,2010-11-16,2010-11-16,112296.08
CIT,CIT 121 Applications Support,B.006507.3     ,Systems Analyst I,Exempt,2019-11-21,2019-11-21,68599.96
CIT,CIT 121 Applications Support,B.003381,Systems Analyst III,Exempt,2010-06-01,2010-06-01,89873.68
CIT,CIT 121 Applications Support,B.002964,Systems Analyst III,Exempt,2002-12-01,2002-12-01,117436.8
CIT,CIT 121 Applications Support,B.001159,Systems Analyst II,Exempt,2016-11-07,2016-11-07,81550.04
CIT,CIT 121 Applications Support,B.006443.3     ,Systems Analyst II,Exempt,2017-07-20,2017-07-20,79844.44
CIT,CIT 121 Applications Support,B.007316.1     ,Systems Analyst II,Exempt,2019-02-14,2019-02-14,91908.44
CIT,CIT 121 Applications Support,B.006732.1     ,Systems Analyst II,Exempt,1987-11-01,2021-01-28,107633.24
CIT,CIT 122 Data & Information Management,B.000577.2     ,Systems Engineer II,Exempt,2013-09-16,2016-10-22,104721.24
CIT,CIT 122 Data & Information Management,B.001434.3     ,IT Deputy Chief of Data and Information Management,Exempt,2018-03-29,2018-03-29,136011.2
CIT,CIT 122 Data & Information Management,B.001013.2     ,Systems Engineer II,Exempt,2019-09-12,2019-09-12,83297.24
CIT,CIT 122 Data & Information Management,B.004377.1     ,Systems Engineer III,Exempt,2010-06-16,2018-09-27,107985.02
CIT,CIT 122 Data & Information Management,B.002822.1     ,Systems Engineer II,Exempt,2006-06-01,2010-09-01,111779.2
CIT,CIT 122 Data & Information Management,B.006194.1     ,Systems Engineer III,Exempt,2004-02-16,2020-09-24,123460.22
CIT,CIT 122 Data & Information Management,B.003494.2     ,Systems Engineer II,Exempt,2016-02-07,2016-02-07,97087.64
CIT,CIT 122 Data & Information Management,B.000890.1     ,Systems Engineer II,Exempt,2015-02-22,2015-02-22,94362.84
CIT,CIT 123 Systems Support,B.006733.2     ,IT Support Center Specialist II,Non Exempt,2001-10-01,2012-10-01,65977.6
CIT,CIT 123 Systems Support,B.003632,Systems Engineer II,Exempt,2013-12-16,2016-11-07,97462.04
CIT,CIT 123 Systems Support,B.005508.1     ,Systems Engineer I,Exempt,2020-08-13,2020-08-13,71781.84
CIT,CIT 123 Systems Support,B.006736,Systems Engineer I,Exempt,1998-09-16,2013-12-16,89873.16
CIT,CIT 123 Systems Support,B.002865,Systems Engineer II,Exempt,2021-01-14,2021-01-14,95000.1
CIT,CIT 123 Systems Support,B.007004.2     ,Systems Engineer III,Exempt,2021-01-04,2021-01-04,104999.96
CIT,CIT 123 Systems Support,B.005023.1     ,Microcomputer Systems Analyst I,Exempt,2017-02-16,2017-02-16,53709.24
CIT,CIT 123 Systems Support,B.005779.2     ,Systems Engineer III,Exempt,2005-07-01,2013-01-16,110793.02
CIT,CIT 123 Systems Support,B.005553.3     ,IT Support Supervisor,Exempt,2018-02-15,2019-08-15,60528
CIT,CIT 123 Systems Support,B.006433,Systems Engineer II,Exempt,2021-07-15,2021-07-15,90000.04
CIT,CIT 123 Systems Support,B.005771.1     ,Microcomputer Systems Analyst II,Exempt,1999-03-16,2020-12-31,70112.12
CIT,CIT 123 Systems Support,B.006077.3     ,Systems Engineer II,Exempt,2017-11-23,2021-03-25,79551.68
CIT,CIT 123 Systems Support,B.007458,Systems Engineer II,Exempt,2018-10-25,2018-10-25,84337.24
CIT,CIT 123 Systems Support,B.001425.2     ,Systems Engineer I,Exempt,2015-12-07,2017-02-16,78245.96
CIT,CIT 123 Systems Support,B.002703.1     ,Computer Operator II,Non Exempt,2020-09-10,2020-09-10,35152
CIT,CIT 123 Systems Support,B.000802.1     ,Systems Engineer I,Exempt,2017-12-07,2017-12-07,72255.56
CIT,CIT 123 Systems Support,B.003918.2     ,Microcomputer Systems Analyst II,Exempt,2017-07-06,2017-07-06,64537.72
CIT,CIT 123 Systems Support,B.004327.1     ,Systems Engineer II,Exempt,2016-09-22,2016-09-22,79844.44
CIT,CIT 123 Systems Support,B.005074.2     ,Systems Engineer III,Exempt,1987-08-03,2016-09-07,115202.62
CIT,CIT 123 Systems Support,B.007145.1     ,Systems Engineer I,Exempt,2015-03-07,2017-06-22,73191.56
CIT,CIT 123 Systems Support,B.004121,Systems Engineer III,Exempt,2019-11-21,2019-11-21,104837.72
CIT,CIT 123 Systems Support,B.006432.2     ,Systems Engineer II,Exempt,2009-02-01,2016-09-07,96193.24
CIT,CIT 123 Systems Support,B.001526.1     ,Computer Operations Supervisor,Exempt,2004-01-01,2004-01-01,91748.8
CIT,CIT 123 Systems Support,B.005642,Systems Engineer II,Exempt,2015-12-07,2015-12-07,108756.44
CIT,CIT 123 Systems Support,B.001783.1     ,Systems Analyst III,Exempt,1994-05-23,2015-07-22,100648.08
CIT,CIT 123 Systems Support,B.007457.3     ,Systems Analyst II,Exempt,2018-08-16,2018-08-16,81903.64
CIT,CIT 123 Systems Support,B.003877.2     ,Systems Engineer I,Exempt,2013-11-01,2014-07-07,80825.16
CIT,CIT 123 Systems Support,B.002132,Systems Engineer II,Exempt,1990-01-01,1998-09-01,103743.64
CIT,CIT 123 Systems Support,B.000664.4     ,IT Support Center Specialist II,Non Exempt,2014-01-16,2014-01-16,52895.18
CIT,CIT 123 Systems Support,B.006441.2     ,Electronics Operations Technician,Non Exempt,2007-11-16,2007-11-16,53999.14
CIT,CIT 123 Systems Support,B.000639.1     ,Computer Operator II,Non Exempt,2020-07-30,2020-07-30,36249.46
CIT,CIT 123 Systems Support,B.007313,Systems Engineer II,Exempt,2003-01-01,2019-08-29,92532.44
CIT,CIT 123 Systems Support,B.006431,Microcomputer Systems Analyst I,Exempt,2005-11-16,2005-11-16,61114.04
CIT,CIT 123 Systems Support,B.005645.2     ,Systems Engineer I,Exempt,2007-11-16,2007-11-16,78682.76
CIT,CIT 123 Systems Support,B.000308.3     ,IT Support Center Specialist II,Non Exempt,2021-06-03,2021-06-03,44990.4
CIT,CIT 123 Systems Support,B.007456,Systems Analyst II,Exempt,2018-08-16,2018-08-16,79740.44
CIT,CIT 123 Systems Support,B.007314,Systems Engineer II,Exempt,2014-05-01,2019-03-14,90223.64
CIT,CIT 123 Systems Support,B.003556,Systems Engineer III,Exempt,2015-08-07,2021-04-08,92177.02
CIT,CIT 123 Systems Support,B.006442.2     ,Electronics Operations Technician,Non Exempt,2014-04-01,2014-11-22,53250.34
CIT,CIT 124 Center for Geospatial Information Services,B.003980,GIS Technician III,Non Exempt,2011-02-01,2019-04-11,57722.34
CIT,CIT 124 Center for Geospatial Information Services,B.005889.1     ,Systems Analyst II,Exempt,2019-01-03,2019-01-03,77930.84
